"Articulation","Vitesse","ICC","ConfidenceInterval","p_value","RMSE","LOA_lower","LOA_upper","Biais","CorrP"
"knee_flexion_r",60,0.89,"0.829 - 0.93",0,8.896,0.1791,15.9889,8.084,0.8584
"knee_flexion_r",80,0.855,"0.774 - 0.907",0,7.371,0.7222,13.0004,6.8613,0.8101
"knee_flexion_r",100,0.89,"0.829 - 0.93",0,8.279,2.1826,13.4751,7.8288,0.8755
"knee_flexion_l",60,0.808,"0.701 - 0.877",0,8.26,-0.3206,15.0048,7.3421,0.6835
"knee_flexion_l",80,0.778,"0.654 - 0.858",0,8.612,0.2795,15.282,7.7808,0.6403
"knee_flexion_l",100,0.718,"0.561 - 0.819",0,9.236,-0.1034,16.6142,8.2554,0.5657
"hip_flexion_r",60,0.8,"0.689 - 0.872",0,7.172,-2.2674,14.1169,5.9247,0.6731
"hip_flexion_r",80,0.729,"0.578 - 0.826",0,7.5,-3.7879,15.407,5.8095,0.5942
"hip_flexion_r",100,0.847,"0.761 - 0.902",0,7.714,-0.2564,14.0223,6.8829,0.7487
"hip_flexion_l",60,0.808,"0.701 - 0.877",0,4.487,-4.488,10.0187,2.7654,0.6958
"hip_flexion_l",80,0.858,"0.778 - 0.909",0,4.678,-3.9034,10.1954,3.146,0.7634
"hip_flexion_l",100,0.849,"0.765 - 0.903",0,5.511,-4.0316,11.7875,3.8779,0.7611
"hip_adduction_r",60,0.629,"0.422 - 0.762",1e-05,4.196,-9.2758,7.5295,-0.8731,0.4543
"hip_adduction_r",80,0.447,"0.138 - 0.646",0.00453,4.908,-9.9803,9.9566,-0.0118,0.266
"hip_adduction_r",100,0.077,"-0.439 - 0.408",0.3613,6.203,-9.6106,13.8033,2.0964,-4e-04
"hip_adduction_l",60,0,"-0.559 - 0.359",0.5,5.222,-10.9398,10.5074,-0.2162,-0.089
"hip_adduction_l",80,0.165,"-0.301 - 0.465",0.21175,4.427,-4.1939,10.1293,2.9677,0.0842
"hip_adduction_l",100,0.425,"0.104 - 0.631",0.00738,5.334,-3.5314,11.4042,3.9364,0.2663
"hip_rotation_r",60,0.404,"0.071 - 0.618",0.01131,9.419,-15.7269,20.7371,2.5051,0.2963
"hip_rotation_r",80,0.811,"0.705 - 0.879",0,4.825,-9.2012,11.2384,1.0186,0.8728
"hip_rotation_r",100,0.792,"0.676 - 0.867",0,5.505,-11.556,10.833,-0.3615,0.7662
"hip_rotation_l",60,0,"-0.559 - 0.359",0.5,6.204,-14.0855,7.6713,-3.2071,-0.1255
"hip_rotation_l",80,0,"-0.559 - 0.359",0.5,6.478,-14.5102,6.1898,-4.1602,-0.1467
"hip_rotation_l",100,0.485,"0.197 - 0.67",0.00179,7.04,-14.8345,4.3693,-5.2326,0.3717
"ankle_flexion_r",60,0.867,"0.792 - 0.915",0,6.622,-5.015,14.6715,4.8282,0.8033
"ankle_flexion_r",80,0.78,"0.657 - 0.859",0,8.845,-4.8808,18.5814,6.8503,0.6269
"ankle_flexion_r",100,0.816,"0.713 - 0.882",0,8.849,-4.8855,18.5338,6.8242,0.6893
"ankle_flexion_l",60,0.873,"0.802 - 0.919",0,6.463,-0.4705,12.1614,5.8454,0.8032
"ankle_flexion_l",80,0.784,"0.663 - 0.861",0,8.915,-1.5477,17.1693,7.8108,0.659
"ankle_flexion_l",100,0.618,"0.404 - 0.755",1e-05,10.414,-4.942,21.3025,8.1803,0.4089
