"Articulation","Vitesse","ICC","ConfidenceInterval","p_value","RMSE","LOA_lower","LOA_upper","Biais","CorrP"
"knee_flexion_r",60,0.812,"0.706 - 0.879",0,3.745,-6.778,9.2337,1.2279,0.7449
"knee_flexion_r",80,0.776,"0.65 - 0.856",0,3.177,-6.1883,8.1237,0.9677,0.7214
"knee_flexion_r",100,0.629,"0.422 - 0.762",1e-05,3.555,-6.3093,8.1767,0.9337,0.5734
"knee_flexion_l",60,0.85,"0.767 - 0.904",0,3.111,-4.0973,7.7177,1.8102,0.8048
"knee_flexion_l",80,0.792,"0.676 - 0.867",0,3.191,-3.7548,7.6069,1.9261,0.7236
"knee_flexion_l",100,0.773,"0.646 - 0.854",0,3.281,-4.0591,7.7367,1.8388,0.7387
"hip_flexion_r",60,0.92,"0.876 - 0.949",0,1.392,-3.4206,3.7099,0.1446,0.9145
"hip_flexion_r",80,0.919,"0.873 - 0.948",0,1.358,-3.708,4.1767,0.2343,0.9369
"hip_flexion_r",100,0.801,"0.69 - 0.872",0,2.232,-4.7091,5.4205,0.3557,0.7823
"hip_flexion_l",60,0.935,"0.899 - 0.959",0,1.058,-2.8574,2.931,0.0368,0.9318
"hip_flexion_l",80,0.915,"0.868 - 0.946",0,1.436,-3.018,3.9197,0.4508,0.9307
"hip_flexion_l",100,0.871,"0.799 - 0.917",0,1.628,-3.9436,4.0129,0.0346,0.8742
"hip_adduction_r",60,0.755,"0.618 - 0.843",0,0.935,-3.1904,3.3249,0.0672,0.824
"hip_adduction_r",80,0.53,"0.267 - 0.698",0.00048,2.273,-5.019,5.5959,0.2885,0.4684
"hip_adduction_r",100,0.528,"0.264 - 0.697",0.00051,1.946,-4.714,4.9922,0.1391,0.51
"hip_adduction_l",60,0.808,"0.7 - 0.877",0,2.544,-4.6465,6.5306,0.942,0.7565
"hip_adduction_l",80,0.871,"0.798 - 0.917",0,1.891,-5.374,3.9355,-0.7192,0.9281
"hip_adduction_l",100,0.921,"0.877 - 0.949",0,1.134,-3.2279,4.0512,0.4116,0.9473
"hip_rotation_r",60,0.196,"-0.254 - 0.484",0.16714,2.761,-7.2957,7.0549,-0.1204,0.1591
"hip_rotation_r",80,0.531,"0.268 - 0.699",0.00046,1.882,-6.1778,5.6327,-0.2726,0.6795
"hip_rotation_r",100,0.88,"0.813 - 0.923",0,1.331,-4.6379,4.1496,-0.2442,0.9198
"hip_rotation_l",60,0.36,"0.002 - 0.59",0.0245,2.34,-6.3323,6.3594,0.0135,0.3675
"hip_rotation_l",80,0.592,"0.364 - 0.739",5e-05,1.554,-5.4469,5.2794,-0.0838,0.7068
"hip_rotation_l",100,0.775,"0.649 - 0.856",0,2.027,-5.2149,4.7912,-0.2119,0.7129
"ankle_flexion_r",60,0.758,"0.622 - 0.845",0,5.23,-13.0773,10.1575,-1.4599,0.6981
"ankle_flexion_r",80,0.724,"0.57 - 0.823",0,5.451,-14.0033,9.6665,-2.1684,0.6805
"ankle_flexion_r",100,0.803,"0.693 - 0.874",0,5.264,-13.3682,8.0175,-2.6753,0.7396
"ankle_flexion_l",60,0.783,"0.661 - 0.861",0,3.826,-10.2901,7.9476,-1.1713,0.745
"ankle_flexion_l",80,0.77,"0.641 - 0.852",0,5.242,-13.5618,6.8921,-3.3349,0.7313
"ankle_flexion_l",100,0.752,"0.613 - 0.841",0,4.31,-12.9145,8.3305,-2.292,0.7854
