"Articulation","Vitesse","ICC","ConfidenceInterval","p_value","RMSE","LOA_lower","LOA_upper","Biais"
"knee_flexion_r",60,0.835,"0.742 - 0.894",0,8.038,0.6666,14.0827,7.3746
"knee_flexion_r",80,0.777,"0.653 - 0.857",0,8.37,0.7479,14.5493,7.6486
"knee_flexion_r",100,0.748,"0.608 - 0.839",0,9.17,0.9213,15.8421,8.3817
"knee_flexion_l",60,0.589,"0.36 - 0.737",5e-05,9.192,-0.5186,16.7445,8.1129
"knee_flexion_l",80,0.606,"0.386 - 0.747",2e-05,9.18,-0.184,16.5251,8.1706
"knee_flexion_l",100,0.421,"0.098 - 0.629",0.00803,9.931,-0.8788,18.2604,8.6908
"hip_flexion_r",60,0.599,"0.374 - 0.743",4e-05,7.207,-3.4478,14.6829,5.6175
"hip_flexion_r",80,0.514,"0.242 - 0.688",0.00078,8.18,-5.8372,17.3561,5.7594
"hip_flexion_r",100,0.689,"0.515 - 0.801",0,7.901,-2.5545,15.5309,6.4882
"hip_flexion_l",60,0.852,"0.769 - 0.905",0,4.458,-2.3787,9.2989,3.4601
"hip_flexion_l",80,0.897,"0.84 - 0.934",0,4.546,-1.8131,9.2193,3.7031
"hip_flexion_l",100,0.897,"0.839 - 0.934",0,5.16,-1.9787,10.3494,4.1853
"hip_adduction_r",60,0.625,"0.415 - 0.759",1e-05,9.352,-18.6587,3.5063,-7.5762
"hip_adduction_r",80,0.448,"0.139 - 0.646",0.00448,8.884,-18.9872,6.3791,-6.3041
"hip_adduction_r",100,0.251,"-0.168 - 0.52",0.10082,7.444,-16.6435,10.2553,-3.1941
"hip_adduction_l",60,0.051,"-0.479 - 0.392",0.40768,7.486,-16.652,7.5131,-4.5695
"hip_adduction_l",80,0.167,"-0.3 - 0.465",0.21,5.041,-11.4413,8.5955,-1.4229
"hip_adduction_l",100,0.581,"0.346 - 0.731",7e-05,3.911,-7.7127,8.2354,0.2614
"hip_rotation_r",60,0.72,"0.564 - 0.821",0,7.947,-17.699,12.4103,-2.6443
"hip_rotation_r",80,0.836,"0.744 - 0.895",0,7.596,-16.8505,6.95,-4.9503
"hip_rotation_r",100,0.873,"0.802 - 0.919",0,6.988,-14.8219,4.2375,-5.2922
"hip_rotation_l",60,0.783,"0.662 - 0.861",0,6.842,-13.2393,1.3377,-5.9508
"hip_rotation_l",80,0.508,"0.233 - 0.684",0.00094,7.501,-15.0678,2.5408,-6.2635
"hip_rotation_l",100,0.733,"0.583 - 0.829",0,8.486,-16.8548,2.9832,-6.9358
"ankle_flexion_r",60,0.898,"0.841 - 0.935",0,7.042,-2.7199,14.2778,5.7789
"ankle_flexion_r",80,0.836,"0.745 - 0.895",0,8.726,-1.9073,16.8709,7.4818
"ankle_flexion_r",100,0.856,"0.775 - 0.907",0,9.07,-1.8467,17.4099,7.7816
"ankle_flexion_l",60,0.931,"0.892 - 0.955",0,6.385,1.3664,10.8287,6.0975
"ankle_flexion_l",80,0.848,"0.764 - 0.903",0,8.909,0.11,16.1596,8.1348
"ankle_flexion_l",100,0.695,"0.524 - 0.804",0,10.356,-2.9361,20.2218,8.6429
