"Articulation","Vitesse","ICC","ConfidenceInterval","p_value","RMSE","LOA_lower","LOA_upper","Biais"
"knee_flexion_r",60,0.961,"0.939 - 0.975",0,3.372,-1.2382,6.8897,2.8258
"knee_flexion_r",80,0.957,"0.933 - 0.972",0,3.489,-0.4429,6.7432,3.1502
"knee_flexion_r",100,0.955,"0.931 - 0.971",0,4.363,0.0362,7.8851,3.9606
"knee_flexion_l",60,0.929,"0.889 - 0.954",0,4.933,-0.2079,9.0689,4.4305
"knee_flexion_l",80,0.958,"0.935 - 0.973",0,4.823,1.1472,7.956,4.5516
"knee_flexion_l",100,0.972,"0.956 - 0.982",0,5.159,2.0653,7.92,4.9927
"hip_flexion_r",60,0.703,"0.537 - 0.809",0,9.678,0.6042,17.0057,8.805
"hip_flexion_r",80,0.667,"0.48 - 0.786",0,10.076,-0.6547,18.4831,8.9142
"hip_flexion_r",100,0.791,"0.674 - 0.866",0,9.939,1.7347,16.7144,9.2245
"hip_flexion_l",60,0.834,"0.741 - 0.894",0,6.556,-0.1259,11.9018,5.8879
"hip_flexion_l",80,0.881,"0.814 - 0.923",0,6.205,-0.3582,11.3882,5.515
"hip_flexion_l",100,0.83,"0.735 - 0.891",0,6.966,-1.4775,13.3294,5.9259
"hip_adduction_r",60,0.411,"0.082 - 0.622",0.00985,4.165,-9.6235,6.1245,-1.7495
"hip_adduction_r",80,0.573,"0.335 - 0.726",1e-04,3.779,-8.4373,6.9239,-0.7567
"hip_adduction_r",100,0.329,"-0.046 - 0.57",0.03912,4.766,-9.2468,10.0996,0.4264
"hip_adduction_l",60,0.542,"0.285 - 0.706",0.00032,4.012,-9.1913,6.0975,-1.5469
"hip_adduction_l",80,0.436,"0.121 - 0.639",0.00582,3.332,-7.1631,7.1611,-0.001
"hip_adduction_l",100,0.327,"-0.05 - 0.568",0.04042,4.461,-9.6289,8.2439,-0.6925
"hip_rotation_r",60,0.639,"0.437 - 0.768",0,7.29,-12.6983,15.9409,1.6213
"hip_rotation_r",80,0.667,"0.48 - 0.786",0,6.293,-10.1056,14.1441,2.0192
"hip_rotation_r",100,0.595,"0.369 - 0.74",4e-05,6.989,-11.1547,15.5022,2.1738
"hip_rotation_l",60,0.849,"0.765 - 0.903",0,3.046,-6.725,1.2853,-2.7198
"hip_rotation_l",80,0.758,"0.622 - 0.845",0,2.604,-5.9585,1.7345,-2.112
"hip_rotation_l",100,0.874,"0.804 - 0.919",0,1.817,-4.6536,2.9482,-0.8527
"ankle_flexion_r",60,0.926,"0.885 - 0.953",0,7.314,-1.5421,14.2341,6.346
"ankle_flexion_r",80,0.849,"0.764 - 0.903",0,9.047,-1.31,17.2142,7.9521
"ankle_flexion_r",100,0.912,"0.862 - 0.943",0,9.006,-0.2447,16.4242,8.0897
"ankle_flexion_l",60,0.891,"0.83 - 0.93",0,7.072,-0.0046,13.0376,6.5165
"ankle_flexion_l",80,0.922,"0.879 - 0.95",0,8.003,1.582,13.5232,7.5526
"ankle_flexion_l",100,0.894,"0.835 - 0.932",0,9.002,1.2218,15.4889,8.3554
