"Articulation","Vitesse","ICC","ConfidenceInterval","p_value","RMSE","LOA_lower","LOA_upper","Biais"
"knee_flexion_r",60,0.812,"0.706 - 0.879",0,3.745,-9.2337,6.778,-1.2279
"knee_flexion_r",80,0.776,"0.65 - 0.856",0,3.177,-8.1237,6.1883,-0.9677
"knee_flexion_r",100,0.629,"0.422 - 0.762",1e-05,3.555,-8.1767,6.3093,-0.9337
"knee_flexion_l",60,0.85,"0.767 - 0.904",0,3.111,-7.7177,4.0973,-1.8102
"knee_flexion_l",80,0.792,"0.676 - 0.867",0,3.191,-7.6069,3.7548,-1.9261
"knee_flexion_l",100,0.773,"0.646 - 0.854",0,3.281,-7.7367,4.0591,-1.8388
"hip_flexion_r",60,0.92,"0.876 - 0.949",0,1.392,-3.7099,3.4206,-0.1446
"hip_flexion_r",80,0.919,"0.873 - 0.948",0,1.358,-4.1767,3.708,-0.2343
"hip_flexion_r",100,0.801,"0.69 - 0.872",0,2.232,-5.4205,4.7091,-0.3557
"hip_flexion_l",60,0.935,"0.899 - 0.959",0,1.058,-2.931,2.8574,-0.0368
"hip_flexion_l",80,0.915,"0.868 - 0.946",0,1.436,-3.9197,3.018,-0.4508
"hip_flexion_l",100,0.871,"0.799 - 0.917",0,1.628,-4.0129,3.9436,-0.0346
"hip_adduction_r",60,0.755,"0.618 - 0.843",0,0.935,-3.3249,3.1904,-0.0672
"hip_adduction_r",80,0.53,"0.267 - 0.698",0.00048,2.273,-5.5959,5.019,-0.2885
"hip_adduction_r",100,0.528,"0.264 - 0.697",0.00051,1.946,-4.9922,4.714,-0.1391
"hip_adduction_l",60,0.808,"0.7 - 0.877",0,2.544,-6.5306,4.6465,-0.942
"hip_adduction_l",80,0.871,"0.798 - 0.917",0,1.891,-3.9355,5.374,0.7192
"hip_adduction_l",100,0.921,"0.877 - 0.949",0,1.134,-4.0512,3.2279,-0.4116
"hip_rotation_r",60,0.196,"-0.254 - 0.484",0.16714,2.761,-7.0549,7.2957,0.1204
"hip_rotation_r",80,0.531,"0.268 - 0.699",0.00046,1.882,-5.6327,6.1778,0.2726
"hip_rotation_r",100,0.88,"0.813 - 0.923",0,1.331,-4.1496,4.6379,0.2442
"hip_rotation_l",60,0.36,"0.002 - 0.59",0.0245,2.34,-6.3594,6.3323,-0.0135
"hip_rotation_l",80,0.592,"0.364 - 0.739",5e-05,1.554,-5.2794,5.4469,0.0838
"hip_rotation_l",100,0.775,"0.649 - 0.856",0,2.027,-4.7912,5.2149,0.2119
"ankle_flexion_r",60,0.758,"0.622 - 0.845",0,5.23,-10.1575,13.0773,1.4599
"ankle_flexion_r",80,0.724,"0.57 - 0.823",0,5.451,-9.6665,14.0033,2.1684
"ankle_flexion_r",100,0.803,"0.693 - 0.874",0,5.264,-8.0175,13.3682,2.6753
"ankle_flexion_l",60,0.783,"0.661 - 0.861",0,3.826,-7.9476,10.2901,1.1713
"ankle_flexion_l",80,0.77,"0.641 - 0.852",0,5.242,-6.8921,13.5618,3.3349
"ankle_flexion_l",100,0.752,"0.613 - 0.841",0,4.31,-8.3305,12.9145,2.292
