;Sujet;Mouvement;L Moy Cuisse Gauche;Amplitude de variation Cuisse Gauche;L Moy Cuisse Droite;Amplitude de variation Cuisse Droite;L Moy Jambe Gauche;Amplitude de variation Jambe Gauche;L Moy Jambe Droite;Amplitude de variation Jambe Droite
0;Sujet_01;Sujet_01_marche01_filt.c3d;38.74;1.7e-05;39.31;2.6e-05;38.36;3.6e-05;38.39;2.2e-05
1;Sujet_01;Sujet_01_marche01_nomarkerspose_filt_0.c3d;39.8;1.8e-05;40.23;2.2e-05;39.33;3E-05;39.14;3E-05
2;Sujet_01;Sujet_01_marche02_filt.c3d;38.43;2.3e-05;38.89;2E-05;38.56;3.1e-05;38.25;2.7e-05
3;Sujet_01;Sujet_01_marche02_nomarkerspose_filt_0.c3d;39.87;2.3e-05;40.09;1.8e-05;39.27;3.4e-05;38.7;3.6e-05
4;Sujet_01;Sujet_01_velo_100pose_filt_0.c3d;37.44;2.6e-05;36.8;2.6e-05;38.66;1.6e-05;39.52;1.7e-05
5;Sujet_01;Sujet_01_velo_100_nomarkerspose_filt_0.c3d;38.53;2.6e-05;37.28;2.4e-05;38.75;1.7e-05;38.89;1.7e-05
6;Sujet_01;Sujet_01_velo_60pose_filt_0.c3d;38.08;2.4e-05;37.31;2.3e-05;38.95;1.7e-05;39.0;1.7e-05
7;Sujet_01;Sujet_01_velo_60_nomarkerspose_filt_0.c3d;38.61;2.4e-05;37.26;2.2e-05;38.29;1.8e-05;38.91;1.8e-05
8;Sujet_01;Sujet_01_velo_80pose_filt_0.c3d;37.41;2.4e-05;36.73;2.3e-05;38.9;1.8e-05;39.19;1.8e-05
9;Sujet_01;Sujet_01_velo_80_nomarkerspose_filt_0.c3d;38.47;2.4e-05;37.35;2.4e-05;38.4;1.8e-05;38.78;1.7e-05
10;Sujet_02;Sujet_02_marche01pose_filt_0.c3d;44.4;2.5e-05;44.29;2.7e-05;45.33;2.6e-05;45.08;3.3e-05
11;Sujet_02;Sujet_02_marche01_nomarkerspose_filt_0.c3d;40.97;2.4e-05;40.7;2.5e-05;45.68;3.8e-05;45.06;2.6e-05
12;Sujet_02;Sujet_02_marche02pose_filt_0.c3d;44.4;2.6e-05;43.91;2.4e-05;45.38;3E-05;44.85;3.1e-05
13;Sujet_02;Sujet_02_marche02_nomarkerspose_filt_0.c3d;40.36;2.3e-05;40.54;2.6e-05;45.49;3.2e-05;45.13;2.7e-05
15;Sujet_02;Sujet_02_velo_100pose_filt_0.c3d;46.45;2.6e-05;46.52;2.6e-05;44.2;1.9e-05;44.68;2E-05
16;Sujet_02;Sujet_02_velo_100_nomarkerspose_filt_0.c3d;45.06;2.4e-05;44.51;2.7e-05;45.53;1.7e-05;45.3;1.6e-05
17;Sujet_02;Sujet_02_velo_60pose_filt_0.c3d;46.23;2.5e-05;47.04;2.4e-05;43.83;2.1e-05;44.36;2.1e-05
18;Sujet_02;Sujet_02_velo_60_nomarkerspose_filt_0.c3d;45.38;2.3e-05;45.03;2.5e-05;45.76;1.9e-05;45.42;2E-05
19;Sujet_02;Sujet_02_velo_80pose_filt_0.c3d;46.32;2.4e-05;46.71;2.4e-05;44.0;1.9e-05;44.57;2.1e-05
