,Sujet,Mouvement,L Moy Cuisse Gauche,Amplitude de variation Cuisse Gauche,L Moy Cuisse Droite,Amplitude de variation Cuisse Droite,L Moy Jambe Gauche,Amplitude de variation Jambe Gauche,L Moy Jambe Droite,Amplitude de variation Jambe Droite
0,Sujet_01,Sujet_01_Marche1.c3d,40.5,2.65,40.77,2.34,36.46,3.63,33.16,1.38
1,Sujet_01,Sujet_01_Marche2.c3d,40.55,2.63,40.82,2.17,36.47,4.37,33.1,0.9
2,Sujet_01,Sujet_01_static.c3d,40.19,0.09,40.96,0.05,34.89,0.06,33.08,0.12
3,Sujet_01,Sujet_01_velo_100.c3d,38.05,4.19,37.47,6.98,35.0,1.75,32.42,1.79
4,Sujet_01,Sujet_01_velo_60.c3d,38.37,5.91,37.59,7.74,34.81,2.72,32.24,1.63
5,Sujet_01,Sujet_01_velo_80.c3d,38.14,4.48,37.34,6.69,34.84,1.1,32.26,1.53
6,Sujet_02,Sujet_02_marche01.c3d,49.01,1.5,48.22,1.78,43.08,1.05,44.82,1.5
7,Sujet_02,Sujet_02_marche02.c3d,48.99,1.57,48.26,1.89,43.1,0.98,44.77,1.37
8,Sujet_02,Sujet_02_ROM.c3d,49.06,6.69,48.12,5.77,42.88,1.95,44.5,3.21
9,Sujet_02,Sujet_02_static.c3d,49.46,0.07,48.21,0.04,42.66,0.16,44.32,0.11
10,Sujet_02,Sujet_02_velo_100.c3d,47.37,3.66,47.72,2.97,42.45,1.16,43.52,1.85
11,Sujet_02,Sujet_02_velo_60.c3d,47.69,3.38,48.01,2.61,42.46,1.1,43.55,1.79
12,Sujet_02,Sujet_02_velo_80.c3d,47.53,3.53,47.83,2.86,42.45,1.08,43.55,1.75
13,Sujet_02,Sujet_02_velo_static.c3d,46.33,0.09,48.31,0.13,42.07,0.05,44.56,0.08
14,Sujet_03,Sujet_03_marche01.c3d,47.15,2.81,47.51,2.49,42.12,0.84,41.77,1.42
15,Sujet_03,Sujet_03_marche02.c3d,47.19,2.59,47.44,2.37,42.08,0.83,41.74,1.3
16,Sujet_03,Sujet_03_Npose.c3d,46.5,0.05,47.11,0.06,41.9,0.04,41.73,0.05
17,Sujet_03,Sujet_03_static_velo.c3d,49.72,0.38,47.66,0.12,41.67,0.34,39.85,0.06
18,Sujet_03,Sujet_03_Tpose.c3d,46.54,0.04,47.18,0.07,41.88,0.04,41.68,0.1
19,Sujet_03,Sujet_03_velo_100.c3d,49.49,3.29,48.59,4.05,40.95,1.84,40.26,2.05
20,Sujet_03,Sujet_03_velo_60.c3d,49.32,3.37,48.44,4.21,40.91,1.63,40.15,1.96
21,Sujet_03,Sujet_03_velo_80.c3d,49.38,3.48,48.47,4.3,40.97,1.79,40.2,1.98
22,Sujet_04,Sujet_04_marche01.c3d,46.54,1.78,46.7,2.31,43.09,1.17,43.9,1.03
23,Sujet_04,Sujet_04_marche02.c3d,46.54,1.71,46.77,2.11,43.1,1.45,43.85,1.03
24,Sujet_04,Sujet_04_Npose.c3d,46.51,0.05,46.76,0.09,43.11,0.15,43.73,0.2
25,Sujet_04,Sujet_04_static_velo.c3d,47.02,0.1,46.76,0.09,42.81,0.19,43.69,0.13
26,Sujet_04,Sujet_04_Tpose.c3d,46.58,0.1,46.83,0.12,43.15,0.24,43.72,0.22
27,Sujet_04,Sujet_04_velo_100.c3d,46.43,3.82,47.73,3.54,42.51,1.46,43.84,1.47
28,Sujet_04,Sujet_04_velo_60.c3d,46.32,3.77,47.35,4.51,42.42,0.96,43.75,1.7
29,Sujet_04,Sujet_04_velo_80.c3d,46.22,3.81,47.41,3.59,42.38,1.15,43.83,2.1
30,Sujet_05,Sujet_05_marche01.c3d,39.89,2.05,40.32,1.66,38.11,0.89,38.18,0.67
31,Sujet_05,Sujet_05_marche02.c3d,39.84,1.93,40.28,1.51,38.14,0.88,38.2,0.58
32,Sujet_05,Sujet_05_Npose.c3d,39.49,0.04,40.04,0.07,38.11,0.03,38.07,0.02
33,Sujet_05,Sujet_05_static_velo.c3d,42.05,0.1,41.68,0.1,37.57,0.04,36.7,0.05
34,Sujet_05,Sujet_05_Tpose.c3d,39.55,0.01,40.19,0.02,38.08,0.01,38.07,0.02
35,Sujet_05,Sujet_05_velo_100.c3d,41.58,1.9,41.83,2.26,36.9,2.08,37.13,2.03
36,Sujet_05,Sujet_05_velo_60.c3d,41.58,1.8,41.82,2.22,36.98,2.11,37.13,1.84
37,Sujet_05,Sujet_05_velo_80.c3d,41.51,1.95,41.78,2.3,36.9,2.06,37.08,1.85
38,Sujet_06,Sujet_06_marche01.c3d,44.9,1.07,44.56,1.07,38.49,0.96,38.82,1.22
39,Sujet_06,Sujet_06_marche02.c3d,44.92,1.05,44.52,0.98,38.48,1.19,38.79,1.12
40,Sujet_06,Sujet_06_Npose.c3d,44.97,0.05,44.46,0.09,38.48,0.09,38.77,0.05
41,Sujet_06,Sujet_06_static_velo.c3d,45.28,0.14,42.82,0.08,38.05,0.06,37.08,0.02
42,Sujet_06,Sujet_06_Tpose.c3d,44.78,0.07,44.39,0.06,38.59,0.11,38.76,0.07
43,Sujet_06,Sujet_06_velo_100.c3d,44.1,5.68,43.48,5.33,37.4,3.26,37.82,2.27
44,Sujet_06,Sujet_06_velo_60.c3d,44.29,4.73,43.8,4.86,37.44,1.91,37.72,2.43
45,Sujet_06,Sujet_06_velo_80.c3d,44.25,4.95,43.68,5.18,37.46,2.11,37.73,2.28
46,Sujet_07,Sujet_07_marche01.c3d,48.81,0.8,48.05,0.89,42.22,0.78,42.57,0.81
47,Sujet_07,Sujet_07_marche02.c3d,48.83,0.72,48.03,0.93,42.23,0.73,42.55,0.89
48,Sujet_07,Sujet_07_Npose.c3d,49.05,0.05,48.07,0.02,42.19,0.01,42.42,0.01
49,Sujet_07,Sujet_07_static_velo.c3d,44.77,0.19,49.09,0.11,40.54,0.05,42.4,0.01
50,Sujet_07,Sujet_07_Tpose.c3d,49.15,0.03,48.13,0.02,42.02,0.02,42.4,0.04
51,Sujet_07,Sujet_07_velo_100.c3d,46.76,5.59,46.94,5.71,41.29,1.6,41.65,1.59
52,Sujet_07,Sujet_07_velo_60.c3d,46.61,6.09,46.49,6.09,41.21,1.52,41.53,1.6
53,Sujet_07,Sujet_07_velo_80.c3d,46.48,6.19,46.48,5.98,41.22,1.49,41.62,1.48
54,Sujet_08,Sujet_08_marche01.c3d,42.42,1.64,43.11,1.31,39.17,1.11,38.0,1.25
55,Sujet_08,Sujet_08_marche02.c3d,42.4,1.65,43.0,1.32,39.08,1.15,37.97,1.28
